id,source_unique_tokens,source_word_count,source_line_count,mean_neighbor_cosine_similarity,add_count_observed,add_count_marginal_prediction,add_count_neighborhood_prediction,add_count_marginal_absolute_error,add_count_neighborhood_absolute_error,add_count_marginal_minus_neighborhood_absolute_error,delete_count_observed,delete_count_marginal_prediction,delete_count_neighborhood_prediction,delete_count_marginal_absolute_error,delete_count_neighborhood_absolute_error,delete_count_marginal_minus_neighborhood_absolute_error,word_count_observed,word_count_marginal_prediction,word_count_neighborhood_prediction,word_count_marginal_absolute_error,word_count_neighborhood_absolute_error,word_count_marginal_minus_neighborhood_absolute_error,line_count_observed,line_count_marginal_prediction,line_count_neighborhood_prediction,line_count_marginal_absolute_error,line_count_neighborhood_absolute_error,line_count_marginal_minus_neighborhood_absolute_error,source_similarity_observed,source_similarity_marginal_prediction,source_similarity_neighborhood_prediction,source_similarity_marginal_absolute_error,source_similarity_neighborhood_absolute_error,source_similarity_marginal_minus_neighborhood_absolute_error
train_0020,78,100,20,0.139456,49.000000,30.000000,33.000000,19.000000,16.000000,3.000000,67.000000,58.933333,58.729412,8.066667,8.270588,-0.203922,77.000000,100.000000,90.000000,23.000000,13.000000,10.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.124294,0.179310,0.187097,0.055017,0.062803,-0.007786
train_0021,38,70,1,0.192063,33.000000,30.000000,26.000000,3.000000,7.000000,-4.000000,22.000000,28.756757,28.500000,6.756757,6.500000,0.256757,66.000000,70.000000,60.000000,4.000000,6.000000,-2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.176471,0.179310,0.202532,0.002840,0.026061,-0.023221
train_0022,73,146,20,0.188180,53.000000,30.000000,30.000000,23.000000,23.000000,0.000000,46.000000,55.243243,56.516129,9.243243,10.516129,-1.272886,167.000000,145.000000,123.000000,22.000000,44.000000,-22.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.408946,0.176471,0.187097,0.232475,0.221849,0.010626
train_0023,150,318,20,0.231662,106.000000,30.000000,29.000000,76.000000,77.000000,-1.000000,104.000000,113.513514,118.421053,9.513514,14.421053,-4.907539,265.000000,318.000000,295.000000,53.000000,30.000000,23.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.171527,0.179310,0.187135,0.007784,0.015608,-0.007824
train_0024,30,87,19,0.177318,15.000000,32.000000,26.000000,17.000000,11.000000,6.000000,23.000000,22.666667,21.290323,0.333333,1.709677,-1.376344,23.000000,87.000000,88.000000,64.000000,65.000000,-1.000000,2.000000,19.000000,19.000000,17.000000,17.000000,0.000000,0.145455,0.179310,0.216216,0.033856,0.070762,-0.036906
train_0025,36,62,20,0.115185,70.000000,30.000000,32.000000,40.000000,38.000000,2.000000,22.000000,27.243243,26.790698,5.243243,4.790698,0.452546,132.000000,61.000000,63.000000,71.000000,69.000000,2.000000,19.000000,20.000000,20.000000,1.000000,1.000000,0.000000,0.164948,0.179310,0.179310,0.014362,0.014362,0.000000
train_0026,19,20,1,0.108161,26.000000,32.000000,28.000000,6.000000,2.000000,4.000000,15.000000,14.355556,14.378378,0.644444,0.621622,0.022823,31.000000,19.000000,26.000000,12.000000,5.000000,7.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.078431,0.179310,0.146341,0.100879,0.067910,0.032969
train_0027,72,117,1,0.173062,32.000000,30.000000,30.000000,2.000000,2.000000,0.000000,47.000000,54.486486,55.200000,7.486486,8.200000,-0.713514,111.000000,117.000000,94.000000,6.000000,17.000000,-11.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.324561,0.176471,0.190476,0.148091,0.134085,0.014006
train_0028,18,19,1,0.111115,37.000000,30.000000,27.000000,7.000000,10.000000,-3.000000,16.000000,13.600000,13.395349,2.400000,2.604651,-0.204651,62.000000,18.000000,25.000000,44.000000,37.000000,7.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.024691,0.179310,0.157895,0.154619,0.133203,0.021416
train_0029,22,22,14,0.100749,22.000000,32.000000,26.000000,10.000000,4.000000,6.000000,18.000000,16.622222,15.840000,1.377778,2.160000,-0.782222,54.000000,21.000000,22.000000,33.000000,32.000000,1.000000,13.000000,14.000000,14.000000,1.000000,1.000000,0.000000,0.078947,0.179310,0.188235,0.100363,0.109288,-0.008925
train_0030,24,29,20,0.102547,35.000000,30.000000,27.000000,5.000000,8.000000,-3.000000,20.000000,18.133333,17.280000,1.866667,2.720000,-0.853333,84.000000,28.000000,35.000000,56.000000,49.000000,7.000000,19.000000,20.000000,20.000000,1.000000,1.000000,0.000000,0.123894,0.179310,0.187097,0.055417,0.063203,-0.007786
train_0031,126,217,20,0.213212,28.000000,32.000000,32.000000,4.000000,4.000000,0.000000,102.000000,95.200000,99.346154,6.800000,2.653846,4.146154,93.000000,217.000000,186.000000,124.000000,93.000000,31.000000,19.000000,20.000000,20.000000,1.000000,1.000000,0.000000,0.200000,0.176471,0.185273,0.023529,0.014727,0.008803
train_0032,96,136,1,0.192829,46.000000,30.000000,32.000000,16.000000,14.000000,2.000000,77.000000,72.533333,74.507463,4.466667,2.492537,1.974129,85.000000,136.000000,113.000000,51.000000,28.000000,23.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.126697,0.179310,0.185430,0.052614,0.058734,-0.006120
train_0033,27,28,20,0.098753,6.000000,32.000000,27.000000,26.000000,21.000000,5.000000,14.000000,20.432432,19.161290,6.432432,5.161290,1.271142,20.000000,28.000000,32.000000,8.000000,12.000000,-4.000000,14.000000,20.000000,20.000000,6.000000,6.000000,0.000000,0.375000,0.176471,0.190476,0.198529,0.184524,0.014006
train_0034,57,83,1,0.167998,44.000000,30.000000,28.000000,14.000000,16.000000,-2.000000,38.000000,43.135135,43.474576,5.135135,5.474576,-0.339441,110.000000,82.000000,66.000000,28.000000,44.000000,-16.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.259067,0.176471,0.176471,0.082597,0.082597,0.000000
train_0035,93,154,1,0.172985,35.000000,30.000000,36.000000,5.000000,1.000000,4.000000,66.000000,70.378378,71.655738,4.378378,5.655738,-1.277359,107.000000,154.000000,134.000000,47.000000,27.000000,20.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.298851,0.176471,0.185430,0.122380,0.113420,0.008960
train_0036,54,78,1,0.162456,70.000000,30.000000,32.000000,40.000000,38.000000,2.000000,36.000000,40.864865,40.909091,4.864865,4.909091,-0.044226,159.000000,77.000000,72.000000,82.000000,87.000000,-5.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.202532,0.176471,0.185430,0.026061,0.017101,0.008960
train_0037,38,84,20,0.183960,19.000000,32.000000,26.000000,13.000000,7.000000,6.000000,36.000000,28.711111,28.279070,7.288889,7.720930,-0.432041,21.000000,84.000000,85.000000,63.000000,64.000000,-1.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.019048,0.179310,0.212766,0.160263,0.193718,-0.033456
train_0038,84,93,20,0.116884,76.000000,30.000000,28.000000,46.000000,48.000000,-2.000000,63.000000,63.567568,65.194030,0.567568,2.194030,-1.626462,108.000000,92.000000,76.000000,16.000000,32.000000,-16.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.119403,0.179310,0.187135,0.059907,0.067732,-0.007824
train_0039,58,126,21,0.197142,55.000000,30.000000,29.000000,25.000000,26.000000,-1.000000,38.000000,43.891892,42.000000,5.891892,4.000000,1.891892,151.000000,125.000000,123.000000,26.000000,28.000000,-2.000000,19.000000,21.000000,21.000000,2.000000,2.000000,0.000000,0.353791,0.176471,0.188235,0.177320,0.165555,0.011765
train_0040,35,80,20,0.183096,80.000000,30.000000,26.000000,50.000000,54.000000,-4.000000,20.000000,26.486486,26.250000,6.486486,6.250000,0.236486,156.000000,79.000000,77.000000,77.000000,79.000000,-2.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.245763,0.176471,0.261194,0.069292,0.015431,0.053861
train_0041,45,90,1,0.196850,15.000000,32.000000,27.000000,17.000000,12.000000,5.000000,28.000000,34.054054,32.586207,6.054054,4.586207,1.467847,89.000000,90.000000,87.000000,1.000000,2.000000,-1.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.469274,0.176471,0.222222,0.292803,0.247052,0.045752
train_0042,58,87,1,0.174867,9.000000,32.000000,35.000000,23.000000,26.000000,-3.000000,48.000000,43.822222,45.730769,4.177778,2.269231,1.908547,21.000000,87.000000,64.000000,66.000000,43.000000,23.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.148148,0.179310,0.185676,0.031162,0.037528,-0.006366
train_0043,58,101,20,0.133641,25.000000,32.000000,33.000000,7.000000,8.000000,-1.000000,43.000000,43.891892,43.500000,0.891892,0.500000,0.391892,66.000000,101.000000,101.000000,35.000000,35.000000,0.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.323353,0.176471,0.176471,0.146883,0.146883,0.000000
train_0044,44,99,20,0.184449,16.000000,32.000000,26.000000,16.000000,10.000000,6.000000,25.000000,33.297297,32.521739,8.297297,7.521739,0.775558,66.000000,99.000000,103.000000,33.000000,37.000000,-4.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.363636,0.176471,0.188235,0.187166,0.175401,0.011765
train_0045,52,89,20,0.156898,72.000000,30.000000,33.000000,42.000000,39.000000,3.000000,36.000000,39.351351,39.288889,3.351351,3.288889,0.062462,144.000000,88.000000,83.000000,56.000000,61.000000,-5.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.145923,0.179310,0.185430,0.033388,0.039508,-0.006120
train_0046,31,41,22,0.154124,27.000000,32.000000,27.000000,5.000000,0.000000,5.000000,22.000000,23.459459,23.069767,1.459459,1.069767,0.389692,88.000000,40.000000,42.000000,48.000000,46.000000,2.000000,20.000000,22.000000,22.000000,2.000000,2.000000,0.000000,0.248062,0.176471,0.176471,0.071591,0.071591,0.000000
train_0047,38,95,1,0.177953,16.000000,32.000000,27.000000,16.000000,11.000000,5.000000,22.000000,28.756757,27.517241,6.756757,5.517241,1.239515,96.000000,94.000000,94.000000,2.000000,2.000000,0.000000,22.000000,1.000000,1.000000,21.000000,21.000000,0.000000,0.617801,0.176471,0.203390,0.441330,0.414411,0.026919
train_0048,62,159,22,0.193180,23.000000,32.000000,36.000000,9.000000,13.000000,-4.000000,48.000000,46.844444,46.682353,1.155556,1.317647,-0.162092,91.000000,159.000000,150.000000,68.000000,59.000000,9.000000,21.000000,22.000000,22.000000,1.000000,1.000000,0.000000,0.368000,0.176471,0.188235,0.191529,0.179765,0.011765
train_0049,60,87,1,0.181344,18.000000,32.000000,39.000000,14.000000,21.000000,-7.000000,54.000000,45.333333,45.000000,8.666667,9.000000,-0.333333,64.000000,87.000000,77.000000,23.000000,13.000000,10.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.185430,0.176471,0.200000,0.008960,0.014570,-0.005610
train_0050,67,125,20,0.237024,41.000000,30.000000,29.000000,11.000000,12.000000,-1.000000,52.000000,50.622222,51.870968,1.377778,0.129032,1.248746,110.000000,125.000000,106.000000,15.000000,4.000000,11.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.391489,0.176471,0.212766,0.215019,0.178723,0.036295
train_0051,25,25,1,0.136698,68.000000,30.000000,27.000000,38.000000,41.000000,-3.000000,18.000000,18.918919,18.292683,0.918919,0.292683,0.626236,139.000000,24.000000,33.000000,115.000000,106.000000,9.000000,2.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.060976,0.179310,0.176471,0.118335,0.115495,0.002840
train_0052,221,441,1,0.232114,28.000000,32.000000,35.000000,4.000000,7.000000,-3.000000,215.000000,166.977778,173.796117,48.022222,41.203883,6.818339,38.000000,441.000000,414.000000,403.000000,376.000000,27.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.020877,0.179310,0.185430,0.158434,0.164554,-0.006120
train_0053,28,39,1,0.156845,29.000000,32.000000,36.000000,3.000000,7.000000,-4.000000,19.000000,21.189189,21.082353,2.189189,2.082353,0.106836,55.000000,38.000000,34.000000,17.000000,21.000000,-4.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.212766,0.176471,0.200000,0.036295,0.012766,0.023529
train_0054,71,133,20,0.209539,7.000000,32.000000,33.000000,25.000000,26.000000,-1.000000,66.000000,53.644444,54.967742,12.355556,11.032258,1.323297,16.000000,133.000000,123.000000,117.000000,107.000000,10.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.093960,0.179310,0.222222,0.085351,0.128262,-0.042912
train_0055,20,20,1,0.141683,24.000000,32.000000,29.000000,8.000000,5.000000,3.000000,20.000000,15.111111,15.151515,4.888889,4.848485,0.040404,24.000000,19.000000,29.000000,5.000000,5.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.179310,0.146341,0.179310,0.146341,0.032969
train_0056,21,21,1,0.127739,56.000000,30.000000,28.000000,26.000000,28.000000,-2.000000,18.000000,15.866667,15.750000,2.133333,2.250000,-0.116667,109.000000,20.000000,25.000000,89.000000,84.000000,5.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.046154,0.179310,0.146341,0.133156,0.100188,0.032969
train_0057,61,87,7,0.194323,6.000000,32.000000,32.000000,26.000000,26.000000,0.000000,61.000000,46.088889,47.444444,14.911111,13.555556,1.355556,6.000000,87.000000,67.000000,81.000000,61.000000,20.000000,5.000000,7.000000,7.000000,2.000000,2.000000,0.000000,0.000000,0.179310,0.188235,0.179310,0.188235,-0.008925
train_0058,85,131,1,0.203064,49.000000,30.000000,30.000000,19.000000,19.000000,0.000000,54.000000,64.324324,67.019231,10.324324,13.019231,-2.694906,121.000000,131.000000,108.000000,10.000000,13.000000,-3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.238095,0.176471,0.179310,0.061625,0.058785,0.002840
train_0059,25,45,20,0.131110,27.000000,32.000000,27.000000,5.000000,0.000000,5.000000,17.000000,18.918919,17.647059,1.918919,0.647059,1.271860,87.000000,44.000000,45.000000,43.000000,42.000000,1.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.242424,0.176471,0.203390,0.065954,0.039034,0.026919
train_0060,120,223,20,0.218467,25.000000,32.000000,32.000000,7.000000,7.000000,0.000000,100.000000,90.666667,92.903226,9.333333,7.096774,2.236559,49.000000,223.000000,206.000000,174.000000,157.000000,17.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.080882,0.179310,0.187135,0.098428,0.106252,-0.007824
train_0061,103,199,1,0.219919,47.000000,30.000000,28.000000,17.000000,19.000000,-2.000000,82.000000,77.822222,81.211538,4.177778,0.788462,3.389316,89.000000,199.000000,176.000000,110.000000,87.000000,23.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.166667,0.179310,0.185676,0.012644,0.019010,-0.006366
train_0062,85,123,1,0.203632,24.000000,32.000000,36.000000,8.000000,12.000000,-4.000000,79.000000,64.222222,65.166667,14.777778,13.833333,0.944444,30.000000,123.000000,103.000000,93.000000,73.000000,20.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.052288,0.179310,0.188235,0.127023,0.135948,-0.008925
train_0063,27,74,1,0.212107,13.000000,32.000000,26.000000,19.000000,13.000000,6.000000,21.000000,20.400000,20.017241,0.600000,0.982759,-0.382759,40.000000,74.000000,71.000000,34.000000,31.000000,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.438596,0.176471,0.206897,0.262126,0.231700,0.030426
train_0064,46,84,1,0.201221,18.000000,32.000000,27.000000,14.000000,9.000000,5.000000,38.000000,34.755556,35.266667,3.244444,2.733333,0.511111,28.000000,84.000000,69.000000,56.000000,41.000000,15.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.089286,0.179310,0.222222,0.090025,0.132937,-0.042912
train_0065,71,105,1,0.171613,63.000000,30.000000,32.000000,33.000000,31.000000,2.000000,47.000000,53.729730,56.517413,6.729730,9.517413,-2.787683,144.000000,104.000000,82.000000,40.000000,62.000000,-22.000000,13.000000,1.000000,1.000000,12.000000,12.000000,0.000000,0.257028,0.176471,0.171527,0.080558,0.085502,-0.004944
train_0066,19,32,1,0.191645,38.000000,30.000000,26.000000,8.000000,12.000000,-4.000000,9.000000,14.378378,14.139535,5.378378,5.139535,0.238843,89.000000,31.000000,32.000000,58.000000,57.000000,1.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.297521,0.176471,0.190476,0.121050,0.107044,0.014006
train_0067,37,45,1,0.165467,51.000000,30.000000,32.000000,21.000000,19.000000,2.000000,22.000000,28.000000,28.220339,6.000000,6.220339,-0.220339,128.000000,44.000000,25.000000,84.000000,103.000000,-19.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.138728,0.179310,0.200000,0.040582,0.061272,-0.020690
train_0068,32,77,20,0.197248,22.000000,32.000000,27.000000,10.000000,5.000000,5.000000,20.000000,24.216216,23.172414,4.216216,3.172414,1.043802,74.000000,77.000000,81.000000,3.000000,7.000000,-4.000000,1.000000,20.000000,20.000000,19.000000,19.000000,0.000000,0.543046,0.176471,0.190476,0.366576,0.352570,0.014006
train_0069,41,69,1,0.155267,82.000000,30.000000,33.000000,52.000000,49.000000,3.000000,28.000000,31.027027,29.773810,3.027027,1.773810,1.253218,162.000000,68.000000,68.000000,94.000000,94.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.147186,0.179310,0.212766,0.032124,0.065580,-0.033456
train_0070,58,98,1,0.200302,42.000000,30.000000,28.000000,12.000000,14.000000,-2.000000,36.000000,43.891892,44.466667,7.891892,8.466667,-0.574775,107.000000,97.000000,79.000000,10.000000,28.000000,-18.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.351220,0.176471,0.200000,0.174749,0.151220,0.023529
train_0071,85,139,1,0.174482,59.000000,30.000000,32.000000,29.000000,27.000000,2.000000,62.000000,64.324324,65.166667,2.324324,3.166667,-0.842342,149.000000,138.000000,130.000000,11.000000,19.000000,-8.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.243056,0.176471,0.187135,0.066585,0.055921,0.010664
train_0072,44,69,1,0.165907,21.000000,32.000000,32.000000,11.000000,11.000000,0.000000,38.000000,33.244444,33.000000,4.755556,5.000000,-0.244444,35.000000,69.000000,63.000000,34.000000,28.000000,6.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.115385,0.179310,0.187135,0.063926,0.071750,-0.007824
train_0073,36,72,1,0.171086,80.000000,30.000000,27.000000,50.000000,53.000000,-3.000000,21.000000,27.243243,27.105882,6.243243,6.105882,0.137361,148.000000,71.000000,69.000000,77.000000,79.000000,-2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.200000,0.176471,0.216216,0.023529,0.016216,0.007313
train_0074,109,171,20,0.219429,92.000000,30.000000,32.000000,62.000000,60.000000,2.000000,65.000000,82.486486,86.776699,17.486486,21.776699,-4.290213,207.000000,170.000000,145.000000,37.000000,62.000000,-25.000000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.243386,0.176471,0.176471,0.066916,0.066916,0.000000
train_0075,88,157,1,0.171078,38.000000,30.000000,32.000000,8.000000,6.000000,2.000000,80.000000,66.488889,67.803279,13.511111,12.196721,1.314390,68.000000,157.000000,138.000000,89.000000,70.000000,19.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.160000,0.179310,0.183908,0.019310,0.023908,-0.004598
train_0076,31,34,1,0.112146,37.000000,30.000000,27.000000,7.000000,10.000000,-3.000000,27.000000,23.422222,22.239130,3.577778,4.760870,-1.183092,53.000000,33.000000,35.000000,20.000000,18.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.068966,0.179310,0.202532,0.110345,0.133566,-0.023221
train_0077,84,179,1,0.188306,64.000000,30.000000,32.000000,34.000000,32.000000,2.000000,61.000000,63.567568,63.636364,2.567568,2.636364,-0.068796,170.000000,179.000000,173.000000,9.000000,3.000000,6.000000,20.000000,1.000000,1.000000,19.000000,19.000000,0.000000,0.332378,0.176471,0.185676,0.155908,0.146702,0.009206
